31688,10
25000,6
23760,4
22064,9
21000,4
20082,12
19096,9
18872,9
18240,4
16520,4
16310,5
16212,6
15680,9
15456,4
14364,6
14240,4
14112,4
13251,8
13000,1
12976,6
12584,8
12581,6
12296,6
12045,9
12000,4
11940,4
11880,4
11768,6
11760,4
11752,8
11520,4
11424,6
11280,4
10960,1
10920,4
10620,4
10542,6
10500,4
10380,4
10332,6
10260,4
10080,6
9960,4
9880,4
9749,6
9640,4
9600,4
9440,4
9115,3
8976,4
8974,4
7940,4
8830,4
8700,2
8680,4
8440,4
8380,4
8360,4
8240,4
8115,4
7758,4
7655,2
7472,4
7380,4
7140,4
6960,4
6824,2
6780,4
6624,2
6620,4
6554,3
6540,4
6152,2
6012,2
5724,2
5160,1
5076,2
5040,2
4282,1
4788,2
4624,2
4482,2
4428,2
4428,2
4240,1
3960,1
3940,1
3920,1
3780,2
3650,1
3640,1
3454,2
3180,4
3120,1
3040,1
2720,1
2660,1
2560,1
2514,1
2460,1
2400,1
2160,1
2100,1
