14659,15
9186,16
8880,20
7644,9
6710,1
6258,2
6174,6
5970,4
5885,9
5733,6
5730,4
5280,4
5261,6
5040,6
5040,4
4915,9
4840,5
4761,3
4578,9
4410,9
4388,2
4343,4
4316,6
4208,4
4118,4
3960,4
3938,4
3906,6
3893,4
3875,6
3870,3
3855,4
3851,4
3798,4
3791,3
3690,2
3623,4
3600,4
3551,4
3488,4
3339,6
3294,4
3294,6
3285,6
3240,2
3173,8
3083,4
2858,2
2768,2
2700,4
2588,2
2565,4
2565,4
2552,2
2541,4
2484,2
2385,4
2363,2
2322,3
2318,4
2214,4
2214,4
2133,2
2079,2
2052,2
2052,2
2045,2
1985,2
1863,2
1796,2
1780,1
1767,1
1661,1
1661,2
1661,2
1651,1
1530,1
1470,1
1461,1
1450,1
1433,1
1388,1
1373,1
1350,1
1313,1
1300,1
1260,1
1178,1
1175,1
1125,1
1050,1
1005,1
983,1
968,1
938,1
923,1
923,1
923,1
923,1
855,1
848,2
810,1
711,1
