5129,12
2415,6
2297,3
2016,6
1835,4
1776,2
1481,4
1480,4
1452,5
1440,4
1433,4
1426,2
1426,9
1411,4
1375,4
1346,4
1274,4
1267,4
1258,4
1246,4
1240,6
1210,4
1166,4
1130,4
1119,3
1106,2
1089,3
1045,2
1044,4
1044,4
979,1
914,4
907,4
886,4
878,4
870,1
859,2
806,4
804,2
794,2
786,2
770,4
760,2
755,1
738,4
734,1
734,4
721,2
718,3
708,4
661,2
654,2
635,2
619,1
613,2
536,2
532,4
514,2
505,2
480,1
475,1
473,1
466,1
466,1
462,1
458,4
458,1
446,2
445,1
441,2
430,1
422,1
420,1
403,1
401,1
367,1
360,1
346,2
319,1
315,1
312,1
312,1
301,1
295,1
295,1
293,1
288,1
277,1
269,1
262,1
252,1
